id    ,name_en_CA                           ,name_fr_CA                           ,lat             ,lon              ,region,timeZone,compositeStation,stationType,province,city                    ,address                                            ,altitude,environment,aqhiAlgorithm,calculateHistory,forecastCentre,grouping,sortOrder
60430 ,Toronto West                         ,Toronto - ouest                      ,43.709444       ,-79.5435         ,3     ,4       ,                ,1          ,6       ,Toronto                 ,125 RESOURCES ROAD                                 ,133.0   ,1          ,1            ,1               ,4             ,        ,26
60434 ,Mississauga                          ,Mississauga                          ,43.54697        ,-79.65869        ,3     ,4       ,                ,1          ,6       ,Mississauga             ,3359 Mississauga Road North                        ,        ,           ,1            ,1               ,4             ,        ,18
60436 ,Hanlan's Point (Toronto Island)      ,Hanlan's Point (Toronto Island)      ,43.612222       ,-79.388778       ,3     ,4       ,                ,1          ,6       ,Toronto                 ,Toronto Island                                     ,75.0    ,5          ,1            ,1               ,4             ,        ,22
60437 ,York University                      ,York University                      ,43.767639       ,-79.505972       ,3     ,4       ,                ,1          ,6       ,Toronto                 ,Passy Crescent & Assiniboine Rd                    ,184.0   ,2          ,1            ,1               ,4             ,        ,25
60440 ,Toronto North                        ,Toronto North                        ,43.78047        ,-79.467372       ,3     ,4       ,                ,1          ,6       ,Toronto                 ,4905 Dufferin Street                               ,186.0   ,2          ,1            ,1               ,4             ,        ,20
60450 ,Brampton                             ,Brampton                             ,43.669911       ,-79.766589       ,3     ,4       ,                ,1          ,6       ,Brampton                ,109 McLaughlin Road South                          ,218.0   ,2          ,1            ,1               ,4             ,        ,21
60512 ,Hamilton Downtown                    ,Hamilton - centre-ville              ,43.257778       ,-79.861667       ,3     ,4       ,                ,1          ,6       ,Hamilton                ,ELGIN & KELLY                                      ,94.0    ,1          ,1            ,1               ,4             ,        ,13
60515 ,Hamilton West                        ,Hamilton Ouest                       ,43.257444       ,-79.90775        ,3     ,4       ,                ,1          ,6       ,Hamilton                ,Main St. W./hwy 403                                ,99.0    ,2          ,1            ,0               ,4             ,        ,15
60521 ,Hamilton Mountain                    ,Hamilton Mountain                    ,43.24132        ,-79.88941        ,3     ,4       ,                ,1          ,6       ,Hamilton                ,250 Fennell Ave. W.                                ,195.0   ,2          ,1            ,1               ,4             ,        ,14
60610 ,Sudbury                              ,Sudbury                              ,46.491941       ,-81.003105       ,3     ,4       ,                ,1          ,6       ,Sudbury                 ,155 Elm Street                                     ,271.0   ,1          ,1            ,1               ,4             ,        ,39
60709 ,Sault Ste. Marie                     ,Sault Ste. Marie                     ,46.533194       ,-84.309917       ,3     ,4       ,                ,1          ,6       ,Sault Sainte Marie      ,"443 NORTHERN AVE., SAULT COLLEGE"                 ,248.0   ,3          ,1            ,1               ,4             ,        ,40
60808 ,Thunder Bay                          ,Thunder Bay                          ,48.379388       ,-89.290161       ,3     ,4       ,                ,1          ,6       ,Thunder Bay             ,421 JAMES STREET SOUTH                             ,187.0   ,2          ,1            ,1               ,4             ,        ,41
60904 ,London                               ,London                               ,42.974461       ,-81.200858       ,3     ,4       ,                ,1          ,6       ,London                  ,42 St. Julien Street                               ,244.0   ,2          ,1            ,1               ,4             ,        ,6
61009 ,Sarnia                               ,Sarnia                               ,42.9902638889   ,-82.3953416667   ,3     ,4       ,                ,1          ,6       ,Sarnia                  ,720 Christina St. N.                               ,182.0   ,2          ,1            ,1               ,4             ,        ,4
61104 ,Peterborough                         ,Peterborough                         ,44.301917       ,-78.346222       ,3     ,4       ,                ,1          ,6       ,Peterborough            ,10 HOSPITAL DRIVE                                  ,        ,2          ,1            ,1               ,4             ,        ,30
61201 ,Cornwall                             ,Cornwall                             ,45.017972       ,-74.735222       ,3     ,4       ,                ,1          ,6       ,Cornwall                ,BEDFORD & THIRD ST.                                ,57.0    ,2          ,1            ,1               ,4             ,        ,35
61302 ,St Catharines                        ,St Catharines                        ,43.160056       ,-79.23475        ,3     ,4       ,                ,1          ,6       ,St. Catharines          ,ARGYLE CRESCENT                                    ,123.0   ,1          ,1            ,1               ,4             ,        ,12
61402 ,Brantford                            ,Brantford                            ,43.138611       ,-80.292639       ,3     ,4       ,                ,1          ,6       ,Brantford               ,324 GRAND RIVER AVE.                               ,183.0   ,1          ,1            ,1               ,4             ,        ,9
61502 ,Kitchener                            ,Kitchener                            ,43.443833       ,-80.503806       ,3     ,4       ,                ,1          ,6       ,Kitchener               ,WEST AVE. & HOMEWOOD                               ,340.0   ,1          ,1            ,1               ,4             ,        ,10
61603 ,Oakville                             ,Oakville                             ,43.486917       ,-79.702278       ,3     ,4       ,                ,1          ,6       ,Oakville                ,8TH LINE/GLENASHTON DR.                            ,180.0   ,2          ,1            ,1               ,4             ,        ,17
