id    ,name_en_CA                           ,name_fr_CA                           ,lat   ,lon     ,province,city                    ,address
53601 ,Notre-Dame du Rosaire                ,Notre-Dame du Rosaire                ,46.851,-70.453 ,5       ,Notre-Dame-Du-Rosaire   ,RANG ST-LOUIS
53701 ,Hilaire                              ,Hilaire                              ,45.825,-70.856 ,5       ,St-Hilaire-De-Dorset    ,RANG DORSET
53801 ,Tingwick                             ,Tingwick                             ,45.908,-71.949 ,5       ,Tingwick                ,CHEMIN RADAR ET WARWICK
53901 ,douard                               ,douard                               ,47.647,-72.291 ,5       ,Lac-douard              ,Derrire l'hpital village
54102 ,Mont Sutton/Round Top Ridge          ,Mont Sutton/Round Top Ridge          ,45.089,-72.557 ,5       ,Sutton                  ,MONT SUTTON/ROUND TOP RIDGE
54201 ,Chapais                              ,Chapais                              ,49.822,-74.976 ,5       ,                        ,
54401 ,Saint-Anicet                         ,Saint-Anicet                         ,45.117,-74.283 ,5       ,Saint-Anicet            ,1128 DE LA GUERRE
54703 ,Bcancour                             ,Bcancour                             ,46.350,-72.433 ,5       ,Bcancour                ,8310 Boul. Becancour
54901 ,Ditton                               ,Ditton                               ,45.374,-71.250 ,5       ,La Patrie               ,RANG PETIT CANADA OUEST
55001 ,Mont Saint-Michel                    ,Mont Saint-Michel                    ,46.769,-75.432 ,5       ,Ferme Neuve             ,215 4e Rang Gravel
55101 ,Bell                                 ,Bell                                 ,48.433,-77.200 ,5       ,Senneterre              ,Chemin Rivire Bell
55301 ,L'Acadie                             ,L'Acadie                             ,45.294,-73.349 ,5       ,Saint-Jean-Sur-Richelieu,"FERME EXP., 1134 ROUTE 219"
55401 ,Roy                                  ,Roy                                  ,46.362,-72.510 ,5       ,Trois-Rivire            ,Intersection des rues Dorval et Roy
55501 ,Frelighsburg                         ,Frelighsburg                         ,45.052,-72.862 ,5       ,Frelighsburg            ,FRELIGHSBURG
55601 ,Mingan                               ,Mingan                               ,50.267,-64.217 ,5       ,Mingan                  ,MINGAN
55702 ,Parc Georges Maranda                 ,Parc Georges Maranda                 ,46.806,-71.167 ,5       ,Levis                   ,200 rue des Commandeurs
60104 ,Ottawa Downtown                      ,Ottawa - centre-ville                ,45.434,-75.676 ,6       ,Ottawa                  ,RIDEAU & WURTEMBURG
60204 ,Windsor Downtown                     ,Windsor - centre-ville               ,42.316,-83.044 ,6       ,Windsor                 ,467 UNIVERSITY AVE. WEST
60211 ,Windsor West                         ,Windsor - ouest                      ,42.293,-83.073 ,6       ,Windsor                 ,COLLEGE & SOUTH ST.
60304 ,Kingston                             ,Kingston                             ,44.220,-76.521 ,6       ,Kingston                ,23 Beechgrove Lane
60410 ,Toronto East                         ,Toronto - est                        ,43.748,-79.274 ,6       ,Toronto                 ,LAWRENCE & KENNEDY
60424 ,Toronto Downtown                     ,Toronto - centre-ville               ,43.663,-79.388 ,6       ,Toronto                 ,BAY & WELLESLEY
60430 ,Toronto West                         ,Toronto - ouest                      ,43.709,-79.544 ,6       ,Toronto                 ,125 RESOURCES ROAD
60434 ,Mississauga                          ,Mississauga                          ,43.547,-79.659 ,6       ,Mississauga             ,3359 Mississauga Road North
60436 ,Hanlan's Point (Toronto Island)      ,Hanlan's Point (Toronto Island)      ,43.612,-79.389 ,6       ,Toronto                 ,Toronto Island
