Station ID  English Name  Nom en français   Latitude    Longitude        
90806       Syncrude UE1  Syncrude UE1      57.1492     -111.6424        
91001       Esther        Esther            51.6666666  -110.2           
91101       Elk Island N  Parc national El  53.68233    -112.86822       
91301       Tomahawk      Tomahawk          53.37255    -114.76835       
91401       Violet Grove  Violet Grove      53.1422222  -115.138055555556
91501       Beaverlodge   Beaverlodge       55.1969444  -119.394444444444
91601       Carrot Creek  Carrot Creek      53.6072222  -115.876944444444
91701       Steeper       Steeper           53.1325     -117.091111111111
91801       Fort Chipewy  Fort Chipewyan    58.7        -111.133333333333
91901       Caroline      Caroline          51.95       -114.7           
92001       Grande Prair  Grande Prairie -  55.1767     -118.8063        
92201       Lamont Count  Comté de Lamont  53.7603611  -112.8801667     
92601       Breton        Breton            53.090299   -114.460608      
92801       Drayton Vall  Drayton Valley    53.2196     -114.9718        
92901       Edson         Edson             53.5874     -116.4306        
93101       Genesee       Genesee           53.3016     -114.2211        
93202       Hinton        Hinton            53.4273011  -117.544067      
93801       Meadows       Meadows           53.53       -114.6361        
93901       Power         Power             53.633      -114.4199        
94202       Wagner 2      Wagner 2          53.493889   -114.449722      
94301       Cold Lake So  Cold Lake South   54.458      -110.174         
94401       St. Lina      St. Lina          54.216472   -111.502639      
100103      New Westmins  New Westminster   49.227045   -122.894487      
100110      Kensington P  Kensington Park   49.2794444  -122.971111111111
100111      Rocky Pt. Pa  Rocky Pt. Park    49.28083    -122.84917       
100112      Robson Squar  Robson Square     49.28222    -123.12119       
100118      Kitsilano     Kitsilano         49.26167    -123.16333       
100119      Burnaby Sout  Burnaby South     49.21528    -122.98556       
100121      Second Narro  Second Narrows    49.30167    -123.02028       
100125      North Delta   North Delta       49.1583333  -122.901666666667
100126      Burnaby Moun  Burnaby Mountain  49.27972    -122.92222       
100127      Surrey East   Surrey East       49.1327777  -122.69417       
100128      Richmond Sou  Richmond South    49.1416666  -123.108055555556
100132      Mahon Park    Mahon Park        49.3238888  -123.08361       
100134      Vancouver In  Vancouver Intl.   49.1863888  -123.15222       
100135      Coquitlam     Coquitlam         49.2880555  -122.79139       
100138      Horsheshoe B  Horsheshoe Bay    49.36806    -123.27639       
100140      Tsawwassen    Tsawwassen        49.009869   -123.082017      
100202      Prince Georg  Prince George Pl  53.9147222  -122.741944444444
100203      Prince Georg  Prince George BC  53.8711111  -122.743611111111
100205      Prince Georg  Prince George Gl  53.8583333  -122.760833333333
100206      Prince Georg  Prince George La  53.9155555  -122.795833333333
100212      Prince Georg  Prince George Ma  53.8416     -122.7344        
100213      Prince Georg  Prince George De  53.9353     -122.6814        
100214      Prince Georg  Prince George Ex  53.9053     -122.7344        
100304      Victoria Top  Victoria Topaz    48.4425     -123.362777777778
100308      Colwood City  Colwood City Hal  48.4238888  -123.492777777778
100312      Esquimalt Gr  Esquimalt Gravin  48.4374     -123.422         
100401      Kamloops Fed  Kamloops Federal  50.6741666  -120.332777777778
100701      Kelowna Coll  Kelowna College   49.8611111  -119.475         
101003      Central Abbo  Central Abbotsfo  49.0427777  -122.309722222222
101005      Abbotsford A  Abbotsford Airpo  49.021506   -122.326556      
101101      Chilliwack A  Chilliwack Airpo  49.1561111  -121.940555555556
101202      Pitt Meadows  Pitt Meadows      49.2452777  -122.70889       
101301      Langley Cent  Langley Central   49.0961111  -122.566388888889
101401      Hope Airport  Hope Airport      49.3697222  -121.499444444444
101501      Maple Ridge   Maple Ridge       49.2147222  -122.581944444444
101603      Squamish Ele  Squamish Element  49.70516    -123.15133       
101701      Quesnel Seni  Quesnel Senior S  52.8194444  -122.491666666667
101702      Quesnel Mapl  Quesnel Maple Dr  52.9630555  -122.450555555556
101704      Quesnel West  Quesnel West Cor  52.9664     -122.5167        
101801      Creston PC S  Creston PC Schoo  49.0944444  -116.5125        
101904      Cranbrook Mu  Cranbrook Muriel  49.507103   -115.753682      
102001      Saturna       Saturna           48.7833333  -123.133333333333
102102      Nanaimo Labi  Nanaimo Labieux   49.2008333  -123.993888888889
102103      Harmac        Harmac            49.0991     -123.8519        
102201      Butler Park   Butler Park       49.0955555  -117.697222222222
102301      Powell River  Powell River Cra  49.875      -124.516666666667
102302      Powell River  Powell River Wil  49.8875     -124.558333333333
102303      Powell River  Powell River Jam  49.8991     -124.5625        
102401      Smithers      Smithers          54.7830555  -127.1775        
102501      Terrace BC A  Terrace BC Acces  54.5183333  -128.5975        
102503      Terrace Skee  Terrace Skeena M  54.521667   -128.6075        
102602      Port Alberni  Port Alberni Ele  49.2608     -124.8056        
102701      Williams Lak  Williams Lake Co  52.1416666  -122.152777777778
102706      Williams Lak  Williams Lake CR  52.1308333  -122.142222222222
102801      Elk Falls Do  Elk Falls Dogwoo  50.0166666  -125.247222222222
103202      Golden Helip  Golden Helipad    51.2975     -116.9667        
103302      Nelson Kuten  Nelson Kutenai P  49.4908333  -117.295277777778
103402      Revelstoke    Revelstoke        50.9872222  -118.188333333333
103502      Castlegar Zi  Castlegar Zinio   49.3183     -117.6692        
103601      Agassiz       Agassiz           49.238008   -121.762264      
103702      Pine River G  Pine River Gas P  55.575      -121.920833333333
103704      Pine River H  Pine River Hasle  55.6056     -121.9722        
103901      Kitimat Rive  Kitimat Riverlod  54.0558333  -128.673888888889
103902      Kitimat Haul  Kitimat Haul Roa  54.0297222  -128.701666666667
103904      Kitimat Whit  Kitimat Whitesai  54.0675     -128.640277777778
103905      Kitimat Hais  Kitimat Haisla V  53.9733     -128.6503        
103906      Kitimat Rio   Kitimat Rio Tint  54.0194     -128.7042        
104003      Vernon Scien  Vernon Science C  50.25775    -119.2673        
104101      Grand Forks   Grand Forks City  49.0333333  -118.433333333333
104301      Taylor Towns  Taylor Townsite   56.1508333  -120.686111111111
104302      Taylor South  Taylor South Hil  56.1058333  -120.663333333333
104303      Bessborough   Bessborough 237   55.7919     -120.4836        
104304      Farmington C  Farmington Commu  55.9133     -120.5315        
104305      Tomslake 197  Tomslake 197 Roa  55.5902     -120.0858        
104601      Telkwa        Telkwa            54.6911111  -127.054722222222
104801      Duncan Deyki  Duncan Deykin Av  48.8027777  -123.645         
104804      Duncan Colle  Duncan College S  48.786114   -123.717307      
105001      Whistler Mea  Whistler Meadow   50.1439     -122.9611        
105101      Houston Fire  Houston Firehall  54.39959    -126.64596       
105201      Burns Lake F  Burns Lake Fire   54.23306    -125.76352       
105301      Langdale Ele  Langdale Element  49.4416666  -123.491666666667
105501      Fort St. Joh  Fort St. John NP  56.2458333  -120.848888888889
105503      Doig River C  Doig River Cultu  56.5781     -120.4975        
105504      Fort St John  Fort St John Key  56.244722   -120.856111      
106701      Crofton Subs  Crofton Substati  48.875      -123.65          
106702      Crofton Geor  Crofton Georgia   48.8381     -123.6553        
106800      Ucluelet Amp  Ucluelet Amphitr  48.9217     -125.5411        
106900      Vanderhoof    Vanderhoof        54.0163     -124.0061        
107000      Rumble Beach  Rumble Beach Hos  50.4264     -127.4881        
107001      Port Alice L  Port Alice Lake   50.3668     -127.4333        
107100      Courtenay El  Courtenay Elemen  49.6825     -124.9961        
107200      Strathnaver   Strathnaver Pell  53.3072     -122.5331        
119004      Steele Stree  Steele Street St  60.7196861  -135.058683333   
129003      Yellowknife   Yellowknife       62.452084   -114.364031      
129203      Inuvik        Inuvik            68.356994   -133.714063      
129303      Waterlab      Waterlab          63.751619   -68.522433       
129501      Snare Rapids  Snare Rapids      63.50861    -116.00777       
129601      Fort Smith    Fort Smith        60.004486   -111.893377      
129602      Wood Buffalo  Wood Buffalo      60.1465     -113.63769       
129998      Arviat        Arviat            61.108333   -94.058333       
129999      Kugluktuk     Kugluktuk         67.826667   -115.09333       
